species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Comamonas testosteroni,11996,Comamonas testosteroni,"[567201, FHP 1343, NCIB 8955, NCPPB 1969, NCTC 10698, NRRL B-2611, R.Y. Stanier 78, RH 1104]",BSL 1,True,https://genomes.atcc.org/genomes/729288cfbc7446f7,True,True,Soil,Bacteria
Comamonas testosteroni,49249,Comamonas testosteroni,PtL-5,BSL 1,False,,False,True,,Bacteria
Comamonas testosteroni,700441,Comamonas testosteroni,JS42,BSL 1,True,https://genomes.atcc.org/genomes/e9493f3ee008480f,False,True,Soil and ground water,Bacteria
Comamonas testosteroni,27911,Comamonas testosteroni,H-8,BSL 1,False,,False,True,Pond water,Bacteria
Comamonas testosteroni,31492,Comamonas testosteroni,FD 26329 mutant 112B,BSL 1,False,,False,True,Mutant derived from strain FD 26329,Bacteria
Comamonas testosteroni,33083,Comamonas testosteroni,ICPB 3181,BSL 1,False,,False,True,,Bacteria
Comamonas testosteroni,17664,Comamonas testosteroni,298 [6084],BSL 1,False,,False,False,,Bacteria
Comamonas testosteroni,17511,Comamonas testosteroni,139 [FD-32],BSL 1,False,,False,False,Soil,Bacteria
Comamonas testosteroni,17454,Comamonas testosteroni,"79 [NCIB 8893, NCPPB 1976, RH 2664]",BSL 1,False,,False,False,,Bacteria
Comamonas testosteroni,17437,Comamonas testosteroni,60 [A-35],BSL 1,False,,False,False,Pleural fluid,Bacteria
